"Codul tarii gazda";"Codul tarii de provenienta";"Numar de studenti"
"AT";"BE";7
"AT";"BG";4
"AT";"CZ";12
"AT";"DE";15
"AT";"EL";9
"AT";"ES";9
"AT";"HR";12
"AT";"HU";13
"AT";"IT";14
"AT";"LB";6
"AT";"MK";1
"AT";"PL";6
"AT";"RO";5
"AT";"SI";4
"AT";"TR";4
"AT";"UA";5
"AT";"XK";1
"DE";"AT";22
"DE";"BG";3
"DE";"CZ";2
"DE";"DK";5
"DE";"EE";5
"DE";"EL";6
"DE";"ES";3
"DE";"FR";9
"DE";"GE";6
"DE";"HU";8
"DE";"IE";1
"DE";"LI";4
"DE";"LT";2
"DE";"LV";5
"DE";"NL";15
"DE";"PL";14
"DE";"PT";1
"DE";"RS";2
"DE";"SI";1
"DE";"SK";3
"DE";"TR";17
"DE";"UK";11
"FR";"AL";1
"FR";"AM";4
"FR";"AT";10
"FR";"BE";37
"FR";"BG";10
"FR";"CY";2
"FR";"CZ";26
"FR";"DE";111
"FR";"DK";3
"FR";"EE";10
"FR";"EL";12
"FR";"ES";38
"FR";"FI";4
"FR";"GE";2
"FR";"HR";9
"FR";"HU";26
"FR";"IE";6
"FR";"IT";61
"FR";"LT";2
"FR";"LU";13
"FR";"LV";10
"FR";"NL";31
"FR";"NO";4
"FR";"PL";20
"FR";"PT";8
"FR";"RO";14
"FR";"RS";1
"FR";"RU";4
"FR";"SE";13
"FR";"SI";3
"FR";"SK";7
"FR";"TR";12
"FR";"UA";5
"FR";"UK";20
